id,classgrp,grpa,grpb,grpc,grpd,grpe,grpf,grpg,grph,grpi,grpj,grpk,grpl,grpm,grpn,grpo,grp1a,grp1b,grp1c,grp1d,grp1e,grp1f,grp1g,grp1h,grp1i,grp1j,grp1k,grp1l,grp1m,grp1n,grp1o,grp2a,grp2b,grp2c,grp2d,grp2e,grp2f,grp2g,grp2h,grp2i,grp2j,grp2k,grp2l,grp2m,grp2n,grp2o,grp3a,grp3b,grp3c,grp3d,grp3e,grp3f,grp3g,grp3h,grp3i,grp3j,grp3k,grp3l,grp3m,grp3n,grp3o,grp4a,grp4b,grp4c,grp4d,grp4e,grp4f,grp4g,grp4h,grp4i,grp4j,grp4k,grp4l,grp4m,grp4n,grp4o,classid
1040101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040102,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040103,2,,,,,,,,,,,,,,,,1040107,1040129,1040120,1040102,,,,,,,,,,,,1040108,1040116,1040115,1040138,,,,,,,,,,,,1040128,1040130,1040123,1040104,,,,,,,,,,,,1040142,1040133,1040146,1040143,,,,,,,,,,,,10401
1040104,1,1040125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040105,1,1040101,1040137,1040117,1040132,1040126,,,,,,,,,,,1040128,1040112,1040130,1040111,1040123,1040125,,,,,,,,,,1040120,1040107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040106,1,1040121,1040118,1040115,,,,,,,,,,,,,1040121,1040106,1040118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040107,1,1040120,1040129,1040148,1040144,1040119,1040115,1040124,1040108,1040136,1040138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040108,2,,,,,,,,,,,,,,,,1040115,1040129,1040107,1040108,1040120,,,,,,,,,,,1040148,1040119,1040109,1040102,,,,,,,,,,,,1040101,1040132,1040126,1040127,,,,,,,,,,,,1040104,1040117,1040128,1040130,,,,,,,,,,,,10401
1040109,2,1040114,1040131,,,,,,,,,,,,,,1040138,1040141,,,,,,,,,,,,,,1040107,1040120,,,,,,,,,,,,,,1040106,1040121,,,,,,,,,,,,,,1040122,1040145,,,,,,,,,,,,,,10401
1040110,1,1040135,1040137,1040132,1040101,1040122,1040126,1040117,1040105,,,,,,,,1040108,1040129,1040118,1040138,1040116,1040120,,,,,,,,,,1040112,1040125,1040139,1040119,1040107,1040141,,,,,,,,,,1040103,1040134,1040127,1040128,,,,,,,,,,,,1040111,1040145,,,,,,,,,,,,,,10401
1040111,1,1040142,1040139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040112,1,1040130,1040128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040113,1,1040108,1040121,1040116,1040148,1040138,,,,,,,,,,,1040107,1040115,1040120,,,,,,,,,,,,,1040116,1040108,,,,,,,,,,,,,,1040116,1040115,,,,,,,,,,,,,,1040121,1040148,,,,,,,,,,,,,,10401
1040114,2,,,,,,,,,,,,,,,,1040137,1040123,1040125,1040124,,,,,,,,,,,,1040114,1040121,1040119,1040135,1040120,1040131,,,,,,,,,,1040101,1040117,1040105,1040118,1040138,,,,,,,,,,,1040147,1040144,1040141,1040148,1040149,,,,,,,,,,,10401
1040115,1,1040107,1040129,1040124,1040120,1040108,1040116,1040144,1040138,1040109,1040102,,,,,,1040107,1040115,1040120,1040129,1040124,1040116,,,,,,,,,,1040119,1040109,1040148,1040144,1040114,,,,,,,,,,,1040101,1040134,1040117,1040105,,,,,,,,,,,,1040104,1040112,1040103,,,,,,,,,,,,,10401
1040116,1,1040108,1040115,1040118,1040121,,,,,,,,,,,,1040115,1040107,1040129,1040102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040117,1,1040101,1040132,1040137,1040105,1040126,1040135,,,,,,,,,,1040101,1040135,1040110,1040105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040118,,1040121,1040114,1040149,1040115,1040116,,,,,,,,,,,1040115,1040116,1040120,1040108,,,,,,,,,,,,1040121,1040149,1040138,,,,,,,,,,,,,1040147,1040121,,,,,,,,,,,,,,1040119,1040120,,,,,,,,,,,,,,10401
1040119,1,1040107,1040104,1040115,1040124,1040144,,,,,,,,,,,1040107,1040138,1040120,,,,,,,,,,,,,1040144,1040141,1040106,,,,,,,,,,,,,1040121,1040118,,,,,,,,,,,,,,1040115,1040129,,,,,,,,,,,,,,10401
1040120,1,1040107,1040115,1040102,1040129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040121,1,1040118,1040124,1040136,1040138,1040107,,,,,,,,,,,1040115,1040109,1040113,1040108,1040116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040122,1,1040135,1040105,1040145,1040110,,,,,,,,,,,,1040132,1040145,1040130,1040110,1040137,,,,,,,,,,,1040101,1040135,1040105,1040127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040123,2,1040140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040124,1,1040115,1040144,1040121,1040119,1040129,1040109,1040107,,,,,,,,,1040115,1040136,1040107,1040120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040125,1,1040104,1040130,1040123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040126,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040127,1,1040132,1040137,1040101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040128,1,1040130,1040112,1040123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040129,,1040107,1040120,1040102,1040124,1040115,1040119,1040144,1040108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040130,1,1040123,1040128,1040112,1040125,1040104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040131,,,,,,,,,,,,,,,,,1040143,1040146,1040142,1040145,,,,,,,,,,,,1040131,1040126,1040134,,,,,,,,,,,,,1040130,1040128,,,,,,,,,,,,,,1040119,1040114,,,,,,,,,,,,,,10401
1040132,1,1040127,1040137,1040101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040134,1,1040132,1040137,1040101,1040130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040135,,1040110,1040122,1040137,1040132,,,,,,,,,,,,1040118,1040138,1040107,1040129,1040120,1040124,1040116,,,,,,,,,1040108,1040113,1040136,1040148,1040144,1040141,1040114,,,,,,,,,1040110,1040122,1040137,1040132,1040126,1040101,1040117,1040105,,,,,,,,1040112,1040128,1040130,1040125,1040104,1040111,,,,,,,,,,10401
1040136,1,1040148,1040144,1040107,1040115,1040129,1040124,1040138,1040121,1040118,,,,,,,1040113,1040109,,,,,,,,,,,,,,1040114,1040131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040137,1,1040123,1040101,1040117,1040105,1040126,1040122,,,,,,,,,,1040123,1040101,,,,,,,,,,,,,,1040117,1040105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040138,,1040120,1040107,1040118,1040141,1040109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040139,1,1040111,1040142,,,,,,,,,,,,,,1040111,1040142,1040125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040140,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040141,2,,,,,,,,,,,,,,,,1040138,1040109,1040120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040142,2,,,,,,,,,,,,,,,,1040109,1040124,1040141,1040138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040143,1,1040146,,,,,,,,,,,,,,,1040137,1040101,,,,,,,,,,,,,,1040105,1040117,,,,,,,,,,,,,,1040125,1040111,,,,,,,,,,,,,,1040130,1040128,,,,,,,,,,,,,,10401
1040144,,,,,,,,,,,,,,,,,1040107,1040136,1040120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040145,1,1040130,,,,,,,,,,,,,,,1040130,1040117,1040122,1040112,,,,,,,,,,,,1040131,1040133,1040105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040146,1,1040143,1040133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
1040147,1,1040124,1040141,1040138,1040109,1040107,1040120,1040136,,,,,,,,,1040124,1040148,1040107,1040119,1040109,1040141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
